Journal,# of Pubs
us patent,69
abstracts of papers of the american chemical society,63
journal of the american chemical society,57
proceedings of the national academy of sciences,44
glycobiology,41
us patent app,35
abstracts of papers of the american chemical society  uu,32
acs central science,24
biorxiv,20
journal of biological chemistry,20
"NA",19
biochemistry,18
angewandte chemie,15
angewandte chemie international edition,15
chemistry  biology,14
chembiochem,13
acs chemical biology,12
nature chemical biology,12
organic letters,11
the faseb journal,10
the journal of organic chemistry,9
nature,7
science,7
current opinion in chemical biology,6
biophysical journal   a,5
cell    e,5
journal of proteome research,5
lawrence berkeley national lablbnl berkeley ca united states,5
methods in enzymology,5
molecular  cellular proteomics,5
plos one   e,5
tetrahedron letters,5
accounts of chemical research,4
bioorganic  medicinal chemistry,4
bioorganic  medicinal chemistry letters,4
faseb journal   aa,4
langmuir,4
nature communications,4
proceedings of the national academy of sciences   e,4
abstracts of papers of the american chemical society  orgn,3
american chemical society washington dc united states,3
analytical biochemistry,3
angewandte chemieinternational edition,3
cancer research,3
cell,3
chemical  engineering news,3
chemical communications,3
chemistry  biology   rr,3
essentials of glycobiology nd edition,3
molecular biology of the cell,3
nature biotechnology,3
nature methods,3
nature reviews drug discovery,3
plos pathogens   e,3
proceedings of the national academy of sciences   ee,3
varki a,3
abstracts of papers of the american chemical society  carb,2
antimicrobial agents and chemotherapy,2
applied and environmental microbiology,2
bioconjugate chemistry,2
biophysical journal   aa,2
carbohydrate research,2
cell chemical biology    e,2
cell reports,2
chemical society reviews,2
chemistrya european journal,2
current opinion in cell biology,2
elife  e,2
j am chem soc,2
lab on a chip,2
nature neuroscience,2
nature protocols,2
synfacts,2
abstracts of papers of the american chemical society  acarb,1
abstracts of papers of the american chemical society  bb,1
abstracts of papers of the american chemical society  macr,1
abstracts of papers of the american chemical society  medi,1
academic press,1
acs chemical neuroscience,1
acs combinatorial science,1
acs infectious diseases,1
acs materials letters,1
acs nano,1
acs omega,1
advanced engineering materials,1
american chemical society,1
analytical and bioanalytical chemistry,1
analytical chemistry,1
angew chem int ed,1
angewandte chemiegerman edition,1
annals of the new york academy of sciences,1
annual review of biochemistry,1
annual review of cell and developmental biology,1
antimicrobial agents and chemotherapy   e,1
aps march meeting abstracts  u,1
aps march meeting abstracts d,1
assay and drug development technologies,1
berkeley lab science videos on youtube,1
biochemical and biophysical research communications,1
biochemistry  lbnl,1
biochimica et biophysica acta bbageneral subjects,1
biomaterials,1
biophysical journal,1
biosensors and bioelectronics,1
biotechnology letters,1
blood,1
blood advances,1
california univ berkeley,1
california univ berkeley dept of chemistry,1
cancer immunology research,1
cancer immunology research  supplement aa,1
cancer research  supplement prpr,1
carbohydratebased drug discovery,1
cell chemical biology,1
cell host  microbe,1
cell host  microbe    e,1
chem soc rev,1
chemical physics letters,1
chemical reviews,1
cheminform   nono,1
chemistry  industry,1
chemistry of materials,1
chemoselective and bioorthogonal ligation reactions concepts and,1
click chemistry for biotechnology and materials science,1
cold spring harbor laboratory cold spring harbor ny,1
current biology,1
current biology    e,1
current biology cb,1
current opinion in drug discovery  development,1
current opinion in structural biology,1
current protocols in chemical biology,1
data in brief,1
developmental cell    e,1
ebiomedicine,1
environmental science  technology,1
essentials of glycobiology,1
essentials of glycobiology internet th edition,1
essentials of glycobiology varki a et al eds new york cold spring harbor,1
european journal of organic chemistry,1
faseb journal   cc,1
febs journal,1
fems microbiology reviews,1
frontiers in microbiology,1
genome biology,1
glycobiology   g,1
glycobiology   gg,1
glycobiology   rr,1
glycochemistry principles synthesis and applications,1
handbook of nanostructured biomaterials and their applications,1
handbook of nanostructured biomaterials and their applications in,1
hepatology  aa,1
immunology and cell biology,1
investigative ophthalmology  visual science,1
iscience,1
jacs au,1
journal for immunotherapy of cancer  suppl  aa,1
journal of allergy and clinical immunology    e,1
journal of bacteriology,1
journal of biomedical materials research part a an official journal of the,1
journal of carbohydrate chemistry,1
journal of cellular biochemistry,1
journal of immunological methods,1
journal of lipid research,1
journal of materials chemistry,1
journal of medical microbiology,1
journal of medicinal chemistry,1
journal of molecular biology,1
journal of proteomics,1
journal of the american society for mass spectrometry,1
journal of the european ceramic society,1
lawrence berkeley national laboratory,1
los alamos national lablanl los alamos nm united states,1
modern methods in carbohydrate synthesis,1
molecular  biochemical parasitology,1
molecular  cellular proteomics   ss,1
molecular and biochemical parasitology,1
molecular cell,1
molecular cell    e,1
molecular microbiology,1
molecular therapy,1
nanoscience  nanotechnologyasia,1
national academies press,1
nature cancer,1
nature cell biology,1
nature genetics,1
nature medicine,1
nature microbiology,1
nature reviews methods primers,1
nature structural  molecular biology,1
neurooncology  suppl  vi,1
new york,1
organic  biomolecular chemistry,1
peptideseuropean symposium,1
plos biology   e,1
plos computational biology   e,1
plos genetics   e,1
pnas,1
proceedings of the national academy of sciences of the united states of,1
proteomics,1
qsar  combinatorial science,1
rivista italiana di pediatriaitalian journal of pediatrics,1
science   eabn,1
science translational medicine   eaam,1
science translational medicine   eabg,1
scientific reports,1
stanford university,1
star protocols,1
tetrahedron,1
the consortium of glycobiology editors la jolla ca usa,1
the faseb journal   aa,1
the journal of clinical investigation,1
the journal of immunology,1
the journal of physical chemistry b,1
the mycobacterial cell envelope,1
transforming glycoscience a roadmap for the future,1
trends in biotechnology,1
trends in glycoscience and glycotechnology,1
tuberculosis,1
university of california berkeley,1
virtual aiche annual meeting,1
